COD_PRO;SIGLA_PROV;COD_REG;REGIONE;2010;2011;2012;2013;2014;Totale_fallimenti
1;TO;1;Piemonte;97;145;176;243;210;871
2;VC;1;Piemonte;3;5;5;4;;17
3;NO;1;Piemonte;3;5;5;9;8;30
4;CN;1;Piemonte;30;20;35;67;43;195
5;AT;1;Piemonte;4;3;6;34;10;57
6;AL;1;Piemonte;30;34;61;104;64;293
7;AO;2;Valle d'Aosta;8;4;13;12;8;45
8;IM;7;Liguria ;1;2;;2;3;8
9;SV;7;Liguria ;18;24;36;46;35;159
10;GE;7;Liguria ;94;122;163;192;129;700
11;SP;7;Liguria ;37;27;57;53;32;206
12;VA;3;Lombardia;81;105;141;220;129;676
13;CO;3;Lombardia;43;58;97;181;86;465
14;SO;3;Lombardia;6;4;6;16;14;46
15;MI;3;Lombardia;748;561;991;1305;770;4375
16;BG;3;Lombardia;51;37;60;108;87;343
17;BS;3;Lombardia;138;149;233;316;211;1047
18;PV;3;Lombardia;24;49;55;88;62;278
19;CR;3;Lombardia;38;50;51;83;47;269
20;MN;3;Lombardia;93;90;157;168;92;600
21;BZ;4;Trentino;4;33;73;78;43;231
22;TN;4;Trentino;65;48;64;113;83;373
23;VR;5;Veneto  ;44;57;61;107;56;325
24;VI;5;Veneto  ;231;150;247;304;142;1074
25;BL;5;Veneto  ;22;10;16;18;9;75
26;TV;5;Veneto  ;308;162;216;304;189;1179
27;VE;5;Veneto  ;113;49;60;95;75;392
28;PD;5;Veneto  ;257;207;262;346;193;1265
29;RO;5;Veneto  ;48;51;61;84;47;291
30;UD;6;Friuli Venezia Giulia;86;80;107;132;65;470
31;GO;6;Friuli Venezia Giulia;22;20;42;43;18;145
32;TS;6;Friuli Venezia Giulia;6;10;7;24;14;61
33;PC;8;Emilia Romagna;49;52;63;62;32;258
34;PR;8;Emilia Romagna;55;73;110;178;115;531
35;RE;8;Emilia Romagna;63;53;85;132;66;399
36;MO;8;Emilia Romagna;177;107;157;216;131;788
37;BO;8;Emilia Romagna;70;58;80;221;98;527
38;FE;8;Emilia Romagna;5;2;3;4;;14
39;RA;8;Emilia Romagna;64;45;61;92;39;301
40;FC;8;Emilia Romagna;13;9;21;28;32;103
41;PU;11;Marche  ;27;33;31;84;62;237
42;AN;11;Marche  ;164;84;147;211;113;719
43;MC;11;Marche  ;23;31;30;29;20;133
44;AP;11;Marche  ;52;36;70;77;62;297
45;MS;9;Toscana ;1;3;2;3;2;11
46;LU;9;Toscana ;75;113;135;166;110;599
47;PT;9;Toscana ;4;7;5;;3;19
48;FI;9;Toscana ;12;12;23;26;10;83
49;LI;9;Toscana ;8;7;16;26;16;73
50;PI;9;Toscana ;1;;4;4;6;15
51;AR;9;Toscana ;45;38;71;122;69;345
52;SI;9;Toscana ;3;9;12;18;19;61
53;GR;9;Toscana ;;;;1;1;2
54;PG;10;Umbria  ;106;85;159;170;113;633
55;TR;10;Umbria  ;15;7;19;9;19;69
56;VT;12;Lazio   ;9;3;11;30;7;60
57;RI;12;Lazio   ;;1;1;4;1;7
58;RM;12;Lazio   ;214;293;518;941;590;2556
59;LT;12;Lazio   ;2;;6;6;1;15
60;FR;12;Lazio   ;;2;3;;2;7
61;CE;15;Campania;79;76;115;132;73;475
62;BN;15;Campania;2;1;3;4;21;31
63;NA;15;Campania;21;29;36;119;106;311
64;AV;15;Campania;3;3;2;5;13;26
65;SA;15;Campania;89;76;120;174;118;577
66;AQ;13;Abruzzo ;4;4;2;3;1;14
67;TE;13;Abruzzo ;9;;5;7;4;25
68;PE;13;Abruzzo ;65;40;77;67;78;327
69;CH;13;Abruzzo ;27;25;20;42;20;134
70;CB;14;Molise  ;5;13;10;15;10;53
71;FG;16;Puglia  ;61;66;83;107;61;378
72;BA;16;Puglia  ;10;2;4;4;3;23
73;TA;16;Puglia  ;5;1;4;10;4;24
74;BR;16;Puglia  ;2;6;18;32;23;81
75;LE;16;Puglia  ;66;99;61;103;72;401
76;PZ;17;Basilicata;3;4;3;5;6;21
77;MT;17;Basilicata;2;1;2;5;3;13
78;CS;18;Calabria;12;15;36;42;22;127
79;CZ;18;Calabria;2;2;4;13;1;22
80;RC;18;Calabria;74;62;84;115;60;395
81;TP;19;Sicilia ;3;;1;;1;5
82;PA;19;Sicilia ;133;113;148;210;131;735
83;ME;19;Sicilia ;2;6;10;26;8;52
84;AG;19;Sicilia ;;2;;;1;3
85;CL;19;Sicilia ;;1;3;;;4
86;EN;19;Sicilia ;1;;1;;;2
87;CT;19;Sicilia ;;2;3;1;;6
88;RG;19;Sicilia ;;;1;;1;2
89;SR;19;Sicilia ;1;1;4;4;4;14
90;SS;20;Sardegna;1;7;9;17;11;45
91;NU;20;Sardegna;17;15;20;27;21;100
92;CA;20;Sardegna;93;43;102;100;72;410
93;PN;6;Friuli Venezia Giulia;102;51;94;116;56;419
94;IS;14;Molise  ;;;;1;3;4
95;OR;20;Sardegna;9;8;12;16;16;61
96;BI;1;Piemonte;4;8;10;9;1;32
97;LC;3;Lombardia;80;64;72;121;62;399
98;LO;3;Lombardia;54;87;61;80;26;308
99;RN;8;Emilia Romagna;62;35;72;118;69;356
100;PO;9;Toscana ;72;97;89;149;83;490
101;KR;18;Calabria;7;24;38;46;24;139
102;VV;18;Calabria;11;26;36;39;16;128
103;VB;1;Piemonte;7;6;7;17;8;45
104;OT;20;Sardegna;4;2;6;15;15;42
105;OG;20;Sardegna;3;2;7;4;3;19
106;VS;20;Sardegna;8;5;9;12;9;43
107;CI;20;Sardegna;8;7;11;9;3;38
108;MB;3;Lombardia;177;146;209;273;136;941
109;FM;11;Marche  ;42;32;60;66;37;237
110;BT;16;Puglia  ;2;7;10;8;9;36
